candidato,votos,porcentaje,nivel,region,distrito,comuna
FRANCO PARISI FERNANDEZ,2552649,19.71,nacional,NA,NA,NA
JEANNETTE JARA ROMAN,3476615,26.85,nacional,NA,NA,NA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,154850,1.2,nacional,NA,NA,NA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1804773,13.94,nacional,NA,NA,NA
JOSE ANTONIO KAST RIST,3097717,23.919999999999998,nacional,NA,NA,NA
EDUARDO ANTONIO ARTES BRICHETTI,86041,0.6599999999999999,nacional,NA,NA,NA
EVELYN MATTHEI FORNET,1613797,12.46,nacional,NA,NA,NA
HAROLD MAYNE-NICHOLLS SECUL,163273,1.26,nacional,NA,NA,NA
FRANCO PARISI FERNANDEZ,41930,27.84,region,DE ARICA Y PARINACOTA,NA,NA
JEANNETTE JARA ROMAN,34297,22.77,region,DE ARICA Y PARINACOTA,NA,NA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1734,1.1500000000000001,region,DE ARICA Y PARINACOTA,NA,NA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,27240,18.09,region,DE ARICA Y PARINACOTA,NA,NA
JOSE ANTONIO KAST RIST,32992,21.91,region,DE ARICA Y PARINACOTA,NA,NA
EDUARDO ANTONIO ARTES BRICHETTI,871,0.58,region,DE ARICA Y PARINACOTA,NA,NA
EVELYN MATTHEI FORNET,10079,6.6899999999999995,region,DE ARICA Y PARINACOTA,NA,NA
HAROLD MAYNE-NICHOLLS SECUL,1450,0.96,region,DE ARICA Y PARINACOTA,NA,NA
FRANCO PARISI FERNANDEZ,40532,27.68,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
JEANNETTE JARA ROMAN,33637,22.97,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1681,1.1500000000000001,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,26602,18.16,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
JOSE ANTONIO KAST RIST,31914,21.79,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
EDUARDO ANTONIO ARTES BRICHETTI,852,0.58,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
EVELYN MATTHEI FORNET,9803,6.6899999999999995,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
HAROLD MAYNE-NICHOLLS SECUL,1428,0.98,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
FRANCO PARISI FERNANDEZ,437,30.75,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
JEANNETTE JARA ROMAN,281,19.77,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,21,1.48,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
JOHANNES KAISER BARENTS-VON HOHENHAGEN,237,16.68,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
JOSE ANTONIO KAST RIST,310,21.82,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
EDUARDO ANTONIO ARTES BRICHETTI,8,0.56,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
EVELYN MATTHEI FORNET,120,8.44,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
HAROLD MAYNE-NICHOLLS SECUL,7,0.49,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
FRANCO PARISI FERNANDEZ,302,48.949999999999996,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
JEANNETTE JARA ROMAN,47,7.619999999999999,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,3,0.49,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
JOHANNES KAISER BARENTS-VON HOHENHAGEN,59,9.56,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
JOSE ANTONIO KAST RIST,177,28.69,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
EDUARDO ANTONIO ARTES BRICHETTI,3,0.49,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
EVELYN MATTHEI FORNET,26,4.21,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
HAROLD MAYNE-NICHOLLS SECUL,0,0,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,GENERAL LAGOS
FRANCO PARISI FERNANDEZ,659,31.29,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
JEANNETTE JARA ROMAN,332,15.76,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,29,1.3800000000000001,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,342,16.24,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
JOSE ANTONIO KAST RIST,591,28.06,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
EDUARDO ANTONIO ARTES BRICHETTI,8,0.38,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
EVELYN MATTHEI FORNET,130,6.17,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
HAROLD MAYNE-NICHOLLS SECUL,15,0.71,comuna,DE ARICA Y PARINACOTA,DISTRITO 1,PUTRE
FRANCO PARISI FERNANDEZ,64012,31.110000000000003,region,DE TARAPACA,NA,NA
JEANNETTE JARA ROMAN,45232,21.979999999999997,region,DE TARAPACA,NA,NA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,2280,1.11,region,DE TARAPACA,NA,NA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,29985,14.57,region,DE TARAPACA,NA,NA
JOSE ANTONIO KAST RIST,46507,22.6,region,DE TARAPACA,NA,NA
EDUARDO ANTONIO ARTES BRICHETTI,1115,0.54,region,DE TARAPACA,NA,NA
EVELYN MATTHEI FORNET,14292,6.95,region,DE TARAPACA,NA,NA
HAROLD MAYNE-NICHOLLS SECUL,2354,1.1400000000000001,region,DE TARAPACA,NA,NA
FRANCO PARISI FERNANDEZ,25061,42.94,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
JEANNETTE JARA ROMAN,9970,17.08,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,627,1.07,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,7370,12.629999999999999,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
JOSE ANTONIO KAST RIST,11744,20.12,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
EDUARDO ANTONIO ARTES BRICHETTI,327,0.56,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
EVELYN MATTHEI FORNET,2764,4.74,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
HAROLD MAYNE-NICHOLLS SECUL,504,0.8600000000000001,comuna,DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
FRANCO PARISI FERNANDEZ,729,43.09,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
JEANNETTE JARA ROMAN,122,7.21,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,6,0.35,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,179,10.58,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
JOSE ANTONIO KAST RIST,608,35.93,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
EDUARDO ANTONIO ARTES BRICHETTI,0,0,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
EVELYN MATTHEI FORNET,48,2.84,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
HAROLD MAYNE-NICHOLLS SECUL,0,0,comuna,DE TARAPACA,DISTRITO 2,CAMIÑA
FRANCO PARISI FERNANDEZ,695,57.3,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
JEANNETTE JARA ROMAN,25,2.06,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,8,0.6599999999999999,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,81,6.68,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
JOSE ANTONIO KAST RIST,387,31.9,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
EDUARDO ANTONIO ARTES BRICHETTI,2,0.16,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
EVELYN MATTHEI FORNET,12,0.99,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
HAROLD MAYNE-NICHOLLS SECUL,3,0.25,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
FRANCO PARISI FERNANDEZ,978,36.96,comuna,DE TARAPACA,DISTRITO 2,HUARA
JEANNETTE JARA ROMAN,447,16.89,comuna,DE TARAPACA,DISTRITO 2,HUARA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,28,1.06,comuna,DE TARAPACA,DISTRITO 2,HUARA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,353,13.34,comuna,DE TARAPACA,DISTRITO 2,HUARA
JOSE ANTONIO KAST RIST,685,25.89,comuna,DE TARAPACA,DISTRITO 2,HUARA
EDUARDO ANTONIO ARTES BRICHETTI,10,0.38,comuna,DE TARAPACA,DISTRITO 2,HUARA
